id main_background type 7 x 0 y 0 priority 100

id image_background type 10 belongs_to main_background displ_x 0 displ_y 0 screen_x 1024 screen_y 576 tex_x 1024 tex_y 576 tex_coord_x 0 tex_coord_y 0 path /opt/mindscape/assets/images/scenes/game_over/game_over.png priority 1

id change_scene_button type 5 x 450 y 275 priority 110

id change_scene_action type 14 belongs_to change_scene_button command 0 param /opt/mindscape/data/1.level.dat

id key_change_scene_button type 18 belongs_to change_scene_button event_name CHANGE_SCENE key 3

id music_player type 16 x 0 y 0 priority 1

id music_menu type 15 belongs_to music_player path /opt/mindscape/assets/audios/effects_songs/faleceu.wav audio_type 0
